         22246821 function calls (22001034 primitive calls) in 27.406 seconds

   Ordered by: cumulative time
   List reduced from 916 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   27.552   27.552 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/engine.py:65(run_static_scan)
        1    0.001    0.001   22.581   22.581 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/semgrep_adapter.py:35(run_semgrep)
        2    0.000    0.000   22.569   11.284 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/subprocess.py:506(run)
        2    0.000    0.000   22.563   11.282 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/subprocess.py:1165(communicate)
        2    0.000    0.000   22.563   11.282 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/subprocess.py:2062(_communicate)
       10    0.000    0.000   22.562    2.256 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/selectors.py:402(select)
       10   22.562    2.256   22.562    2.256 {method 'poll' of 'select.poll' objects}
   868422    0.287    0.000    1.771    0.000 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ast.py:369(walk)
  2129162    0.722    0.000    1.476    0.000 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ast.py:269(iter_child_nodes)
        1    0.175    0.175    1.416    1.416 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/coverage.py:27(inventory)
   865505    0.208    0.000    1.409    0.000 {method 'extend' of 'collections.deque' objects}
        1    0.021    0.021    1.058    1.058 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:76(run)
        1    0.002    0.002    0.770    0.770 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent003.py:87(detect)
      378    0.175    0.000    0.746    0.002 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent003.py:70(_helper_guards)
      745    0.002    0.000    0.663    0.001 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:159(analyze)
        1    0.059    0.059    0.639    0.639 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent006.py:30(detect)
  7583939    0.568    0.000    0.568    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.541    0.541 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/traversal.py:32(collect_static_files)
     31/1    0.002    0.000    0.541    0.541 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/traversal.py:49(visit)
  2897686    0.371    0.000    0.521    0.000 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ast.py:257(iter_fields)
   195785    0.088    0.000    0.449    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:41(_nodes)
 1379/745    0.011    0.000    0.433    0.001 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:171(_statements)
     1427    0.068    0.000    0.414    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:64(_locals)
338403/208333    0.209    0.000    0.383    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/safety.py:92(type_guard)
        1    0.000    0.000    0.352    0.352 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/suppression.py:34(apply_inline_suppressions)
     3425    0.025    0.000    0.352    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/ast_utils.py:77(match_from_node)
      215    0.003    0.000    0.351    0.002 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/suppression.py:100(_python_directives)
      215    0.002    0.000    0.349    0.002 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/suppression.py:166(_parse_comments)
     3362    0.001    0.000    0.343    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:168(_site)
     5606    0.056    0.000    0.340    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/suppression.py:101(<genexpr>)
   201188    0.053    0.000    0.308    0.000 {method 'extend' of 'list' objects}
   373752    0.157    0.000    0.284    0.000 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tokenize.py:577(_generate_tokens_from_c_tokenizer)
      215    0.072    0.000    0.255    0.001 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ast.py:34(parse)
     1433    0.004    0.000    0.225    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:216(_unsupported)
14015/3486    0.011    0.000    0.193    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:226(_expression)
      215    0.183    0.001    0.183    0.001 {built-in method builtins.compile}
     3656    0.173    0.000    0.173    0.000 {method 'splitlines' of 'str' objects}
     3425    0.002    0.000    0.171    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/ast_utils.py:116(lines_for_range)
1929/1797    0.011    0.000    0.168    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:247(_call)
    85986    0.016    0.000    0.164    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/safety.py:100(<genexpr>)
        1    0.015    0.015    0.160    0.160 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent004.py:20(detect)
  1859929    0.153    0.000    0.153    0.000 {built-in method builtins.getattr}
      263    0.003    0.000    0.136    0.001 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/traversal.py:247(_is_ignored)
   373537    0.070    0.000    0.127    0.000 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:447(_make)
     2346    0.007    0.000    0.122    0.000 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:663(relative_to)


