         516322536 function calls (507156120 primitive calls) in 119.856 seconds

   Ordered by: cumulative time
   List reduced from 843 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  120.001  120.001 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/engine.py:65(run_static_scan)
        1   11.020   11.020   95.002   95.002 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent004.py:20(detect)
 35632463   12.722    0.000   66.753    0.000 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ast.py:369(walk)
 32898524    7.951    0.000   49.772    0.000 {method 'extend' of 'collections.deque' objects}
 68103723   22.642    0.000   45.746    0.000 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ast.py:269(iter_child_nodes)
        1    0.000    0.000   22.615   22.615 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/semgrep_adapter.py:35(run_semgrep)
        2    0.000    0.000   22.604   11.302 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/subprocess.py:506(run)
        2    0.000    0.000   22.598   11.299 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/subprocess.py:1165(communicate)
        2    0.000    0.000   22.598   11.299 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/subprocess.py:2062(_communicate)
       10    0.000    0.000   22.597    2.260 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/selectors.py:402(select)
       10   22.597    2.260   22.597    2.260 {method 'poll' of 'select.poll' objects}
 91983463   11.714    0.000   16.298    0.000 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ast.py:257(iter_fields)
162484929   12.282    0.000   12.283    0.000 {built-in method builtins.isinstance}
3253871/863652    2.561    0.000    9.584    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent004.py:36(value)
2251238/593544    0.723    0.000    7.924    0.000 {built-in method builtins.any}
4639545/1800128    1.062    0.000    7.662    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent004.py:60(<genexpr>)
 56659640    4.587    0.000    4.587    0.000 {built-in method builtins.getattr}
 32898804    2.906    0.000    2.906    0.000 {method 'popleft' of 'collections.deque' objects}
4853028/2793068    1.567    0.000    2.057    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/ast_utils.py:20(qualified_name)
  2733945    0.888    0.000    1.354    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.020    0.020    1.067    1.067 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:76(run)
    61910    0.623    0.000    0.907    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/safety.py:18(paths)
  2732593    0.617    0.000    0.822    0.000 {built-in method builtins.next}
        1    0.002    0.002    0.782    0.782 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent003.py:87(detect)
      378    0.178    0.000    0.757    0.002 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent003.py:70(_helper_guards)
      745    0.002    0.000    0.671    0.001 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:159(analyze)
        1    0.000    0.000    0.535    0.535 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/traversal.py:32(collect_static_files)
     31/1    0.002    0.000    0.535    0.535 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/traversal.py:49(visit)
  2793339    0.486    0.000    0.486    0.000 {method 'endswith' of 'str' objects}
   195785    0.089    0.000    0.452    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:41(_nodes)
 1379/745    0.011    0.000    0.439    0.001 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:171(_statements)
     1427    0.068    0.000    0.416    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:64(_locals)
338403/208333    0.212    0.000    0.388    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/safety.py:92(type_guard)
   476157    0.216    0.000    0.373    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/ast_utils.py:148(resolve_name)
     3425    0.030    0.000    0.358    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/ast_utils.py:77(match_from_node)
     3362    0.001    0.000    0.349    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:168(_site)
   200931    0.053    0.000    0.309    0.000 {method 'extend' of 'list' objects}
  2733960    0.292    0.000    0.292    0.000 {built-in method builtins.hasattr}
      215    0.072    0.000    0.255    0.001 /opt/homebrew/Cellar/python@3.12/3.12.13_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ast.py:34(parse)
     1433    0.003    0.000    0.226    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:216(_unsupported)
  1496004    0.207    0.000    0.208    0.000 {method 'get' of 'dict' objects}
  2732349    0.205    0.000    0.205    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent004.py:75(<genexpr>)
14015/3486    0.011    0.000    0.197    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/rules/sent002.py:226(_expression)
      215    0.182    0.001    0.182    0.001 {built-in method builtins.compile}
     3425    0.002    0.000    0.173    0.000 /Users/bashaarjavaid/Projects/MCP-Sentinel/src/sentinel/static/ast_utils.py:116(lines_for_range)


